Company Name,Symbol, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
Akme Fintrade (India) Limited,AFIL,EQ,26-JUN-2024,1,1,INE916Y01027,1
Abans Financial Services Limited,AFSL,EQ,23-DEC-2022,2,1,INE00ZE01026,2
Agarwal Industrial Corporation Limited,AGARIND,EQ,26-MAY-2014,10,1,INE204E01012,10
Dr. Agarwal's Health Care Limited,AGARWALEYE,EQ,04-FEB-2025,1,1,INE943P01029,1
AGI Greenpac Limited,AGI,EQ,31-MAY-2000,2,1,INE415A01038,2
Agi Infra Limited,AGIIL,EQ,15-JUL-2024,5,1,INE976R01025,5
Agri-Tech (India) Limited,AGRITECH,EQ,28-JAN-2014,10,1,INE449G01018,10
Agro Phos India Limited,AGROPHOS,EQ,08-MAR-2019,10,1,INE740V01019,10
AGS Transact Technologies Limited,AGSTRA,BE,31-JAN-2022,10,1,INE583L01014,10
Ahlada Engineers Limited,AHLADA,EQ,28-JAN-2021,10,1,INE00PV01013,10
Asian Hotels (East) Limited,AHLEAST,EQ,11-AUG-2010,10,1,INE926K01017,10
Ahluwalia Contracts (India) Limited,AHLUCONT,EQ,14-DEC-2009,2,1,INE758C01029,2
AIA Engineering Limited,AIAENG,EQ,14-DEC-2005,2,1,INE212H01026,2
Authum Investment & Infrastructure Limited,AIIL,EQ,23-APR-2024,1,1,INE206F01022,1
Airan Limited,AIRAN,EQ,03-MAY-2019,2,1,INE645W01026,2
Airo Lam limited,AIROLAM,EQ,13-OCT-2021,10,1,INE801L01010,10
Ajanta Pharma Limited,AJANTPHARM,EQ,29-MAY-2000,2,1,INE031B01049,2
Ajax Engineering Limited,AJAXENGG,EQ,17-FEB-2025,1,1,INE274Y01021,1
Ajmera Realty & Infra India Limited,AJMERA,EQ,16-JUN-2009,10,1,INE298G01027,10
Ajooni Biotech Limited,AJOONI,EQ,07-MAY-2021,2,1,INE820Y01021,2
Akash Infra-Projects Limited,AKASH,EQ,11-OCT-2019,10,1,INE737W01013,10
Akg Exim Limited,AKG,EQ,16-FEB-2021,10,1,INE00Y801016,10
AKI India Limited,AKI,BE,06-APR-2023,2,1,INE642Z01026,2
Akshar Spintex Limited,AKSHAR,BE,23-MAY-2022,1,1,INE256Z01025,1
AksharChem India Limited,AKSHARCHEM,EQ,28-MAR-2017,10,1,INE542B01011,10
Aksh Optifibre Limited,AKSHOPTFBR,EQ,18-AUG-2000,5,1,INE523B01011,5
Akums Drugs and Pharmaceuticals Limited,AKUMS,EQ,06-AUG-2024,2,1,INE09XN01023,2
Akzo Nobel India Limited,AKZOINDIA,EQ,28-JUN-2001,10,1,INE133A01011,10
Alankit Limited,ALANKIT,EQ,30-JUN-2015,1,1,INE914E01040,1
Albert David Limited,ALBERTDAVD,EQ,14-JUN-2016,10,1,INE155C01010,10
Alembic Limited,ALEMBICLTD,EQ,22-SEP-1999,2,1,INE426A01027,2
Alicon Castalloy Limited,ALICON,EQ,29-SEP-2006,5,1,INE062D01024,5
Alivus Life Sciences Limited,ALIVUS,EQ,06-AUG-2021,2,1,INE03Q201024,2
Alkali Metals Limited,ALKALI,EQ,06-NOV-2008,10,1,INE773I01017,10
Alkem Laboratories Limited,ALKEM,EQ,23-DEC-2015,2,1,INE540L01014,2
Alkyl Amines Chemicals Limited,ALKYLAMINE,EQ,26-NOV-2007,2,1,INE150B01039,2
Allcargo Logistics Limited,ALLCARGO,EQ,23-JUN-2006,2,1,INE418H01029,2
Alldigi Tech Limited,ALLDIGI,EQ,09-MAY-2005,10,1,INE835G01018,10
Almondz Global Securities Limited,ALMONDZ,EQ,16-JUN-2008,1,1,INE326B01035,1
Alok Industries Limited,ALOKINDS,EQ,19-FEB-2020,1,1,INE270A01029,1
Alpa Laboratories Limited,ALPA,EQ,06-AUG-2007,10,1,INE385I01010,10
Alphageo (India) Limited,ALPHAGEO,EQ,11-MAY-2007,10,1,INE137C01018,10
Amber Enterprises India Limited,AMBER,EQ,30-JAN-2018,10,1,INE371P01015,10
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR,EQ,29-JUN-2004,10,1,INE792B01012,10
Ambika Cotton Mills Limited,AMBIKCO,EQ,29-JAN-2008,10,1,INE540G01014,10
Ambuja Cements Limited,AMBUJACEM,EQ,18-FEB-1998,2,1,INE079A01024,2
AMD Industries Limited,AMDIND,EQ,19-MAR-2007,10,1,INE005I01014,10
Amj Land Holdings Limited,AMJLAND,EQ,08-FEB-1995,2,1,INE606A01024,2
Amines & Plasticizers Limited,AMNPLST,EQ,10-NOV-2023,2,1,INE275D01022,2
Amrutanjan Health Care Limited,AMRUTANJAN,EQ,02-JAN-2015,1,1,INE098F01031,1
Anand Rathi Wealth Limited,ANANDRATHI,EQ,14-DEC-2021,5,1,INE463V01026,5
Anant Raj Limited,ANANTRAJ,EQ,27-SEP-2006,2,1,INE242C01024,2
ANDHRA PAPER LIMITED,ANDHRAPAP,EQ,13-MAY-2004,2,1,INE435A01051,2
The Andhra Sugars Limited,ANDHRSUGAR,EQ,01-NOV-1995,2,1,INE715B01021,2
Angel One Limited,ANGELONE,EQ,05-OCT-2020,10,1,INE732I01013,10
Anik Industries Limited,ANIKINDS,EQ,21-MAY-2008,10,1,INE087B01017,10
Ankit Metal & Power Limited,ANKITMETAL,BZ,14-MAR-2013,10,1,INE106I01010,10
Anmol India Limited,ANMOL,EQ,04-JUN-2021,10,1,INE02AR01019,10
Ansal Properties & Infrastructure Limited,ANSALAPI,BZ,27-JAN-2006,5,1,INE436A01026,5
Antarctica Limited,ANTGRAPHIC,EQ,31-DEC-1997,1,1,INE414B01021,1
Anuh Pharma Limited,ANUHPHR,EQ,20-DEC-2024,5,1,INE489G01022,5
The Anup Engineering Limited,ANUP,EQ,01-MAR-2019,10,1,INE294Z01018,10
Anupam Rasayan India Limited,ANURAS,EQ,24-MAR-2021,10,1,INE930P01018,10
Apar Industries Limited,APARINDS,EQ,12-JUL-2004,10,1,INE372A01015,10
Anjani Portland Cement Limited,APCL,EQ,10-APR-2017,10,1,INE071F01012,10
Apcotex Industries Limited,APCOTEXIND,EQ,06-SEP-1995,2,1,INE116A01032,2
Apex Frozen Foods Limited,APEX,EQ,04-SEP-2017,10,1,INE346W01013,10
APL Apollo Tubes Limited,APLAPOLLO,EQ,14-DEC-2011,2,1,INE702C01027,2
Alembic Pharmaceuticals Limited,APLLTD,EQ,20-SEP-2011,2,1,INE901L01018,2
Apollo Micro Systems Limited,APOLLO,EQ,22-JAN-2018,1,1,INE713T01028,1
Apollo Hospitals Enterprise Limited,APOLLOHOSP,EQ,10-JAN-1996,5,1,INE437A01024,5
Apollo Pipes Limited,APOLLOPIPE,EQ,11-NOV-2019,10,1,INE126J01016,10
Apollo Tyres Limited,APOLLOTYRE,EQ,31-MAY-1995,1,1,INE438A01022,1
Apollo Sindoori Hotels Limited,APOLSINHOT,EQ,28-JAN-2015,5,1,INE451F01024,5
Aptech Limited,APTECHT,BE,27-SEP-2002,10,1,INE266F01018,10
Aptus Value Housing Finance India Limited,APTUS,EQ,24-AUG-2021,2,1,INE852O01025,2
Archidply Industries Limited,ARCHIDPLY,EQ,04-JUL-2008,10,1,INE877I01016,10
Archies Limited,ARCHIES,BE,02-SEP-1998,2,1,INE731A01020,2
Amara Raja Energy & Mobility Limited,ARE&M,EQ,05-SEP-2003,1,1,INE885A01032,1
Rajdarshan Industries Limited,ARENTERP,EQ,18-OCT-1995,10,1,INE610C01014,10
Aries Agro Limited,ARIES,EQ,11-JAN-2008,10,1,INE298I01015,10
Arihant Capital Markets Limited,ARIHANTCAP,EQ,15-JUN-2021,1,1,INE420B01036,1
Arihant Superstructures Limited,ARIHANTSUP,EQ,28-MAR-2017,10,1,INE643K01018,10
Arkade Developers Limited,ARKADE,EQ,24-SEP-2024,10,1,INE0QRL01017,10
Arman Financial Services Limited,ARMANFIN,EQ,14-JUN-2016,10,1,INE109C01017,10
Aro Granite Industries Limited,AROGRANITE,EQ,24-APR-2007,10,1,INE210C01013,10
Arrow Greentech Limited,ARROWGREEN,BE,21-MAY-2015,10,1,INE570D01018,10
Arshiya Limited,ARSHIYA,BZ,14-DEC-2009,2,1,INE968D01022,2
Artemis Medicare Services Limited,ARTEMISMED,EQ,23-JAN-2020,1,1,INE025R01021,1
Art Nirman Limited,ARTNIRMAN,BE,18-OCT-2021,10,1,INE738V01013,10
Arvee Laboratories (India) Limited,ARVEE,EQ,22-MAR-2021,10,1,INE006Z01016,10
Arvind Limited,ARVIND,EQ,08-FEB-1995,10,1,INE034A01011,10
Arvind Fashions Limited,ARVINDFASN,EQ,08-MAR-2019,4,1,INE955V01021,4
Arvind SmartSpaces Limited,ARVSMART,EQ,26-AUG-2015,10,1,INE034S01021,10
Asahi India Glass Limited,ASAHIINDIA,EQ,18-MAR-1998,1,1,INE439A01020,1
Asahi Songwon Colors Limited,ASAHISONG,BE,29-AUG-2011,10,1,INE228I01012,10
Automotive Stampings and Assemblies Limited,ASAL,EQ,12-MAR-2002,10,1,INE900C01027,10
Associated Alcohols & Breweries Ltd.,ASALCBR,EQ,12-FEB-2020,10,1,INE073G01016,10
Ashapura Minechem Limited,ASHAPURMIN,EQ,20-SEP-1995,2,1,INE348A01023,2
Ashiana Housing Limited,ASHIANA,EQ,29-JUN-2011,2,1,INE365D01021,2
Ashima Limited,ASHIMASYN,BE,27-JUL-1995,10,1,INE440A01010,10
Ashoka Buildcon Limited,ASHOKA,EQ,14-OCT-2010,5,1,INE442H01029,5
Ashoka Metcast Limited,ASHOKAMET,EQ,27-JUN-2023,10,1,INE760Y01011,10
Ashok Leyland Limited,ASHOKLEY,EQ,25-MAY-1995,1,1,INE208A01029,1
Asian Energy Services Limited,ASIANENE,EQ,09-DEC-2021,10,1,INE276G01015,10
Asian Hotels (North) Limited,ASIANHOTNR,BE,07-APR-2010,10,1,INE363A01022,10
Asian Paints Limited,ASIANPAINT,EQ,31-MAY-1995,1,1,INE021A01026,1
Asian Granito India Limited,ASIANTILES,BE,23-AUG-2007,10,1,INE022I01019,10
ASK Automotive Limited,ASKAUTOLTD,EQ,15-NOV-2023,2,1,INE491J01022,2
Bartronics India Limited,ASMS,EQ,09-FEB-2023,1,1,INE855F01042,1
Aspinwall and Company Limited,ASPINWALL,EQ,14-JUN-2016,10,1,INE991I01015,10
Astec LifeSciences Limited,ASTEC,EQ,25-NOV-2009,10,1,INE563J01010,10
Aster DM Healthcare Limited,ASTERDM,EQ,26-FEB-2018,10,1,INE914M01019,10
Astral Limited,ASTRAL,EQ,20-MAR-2007,1,1,INE006I01046,1
Astra Microwave Products Limited,ASTRAMICRO,EQ,01-NOV-2004,2,1,INE386C01029,2
AstraZeneca Pharma India Limited,ASTRAZEN,EQ,04-MAY-2001,2,1,INE203A01020,2
Astron Paper & Board Mill Limited,ASTRON,BE,29-DEC-2017,10,1,INE646X01014,10
Atal Realtech Limited,ATALREAL,BE,12-MAY-2023,2,1,INE0ALR01029,2
Atam Valves Limited,ATAM,EQ,10-MAY-2023,10,1,INE09KD01013,10
Adani Total Gas Limited,ATGL,EQ,05-NOV-2018,1,1,INE399L01023,1
Ather Energy Limited,ATHERENERG,EQ,06-MAY-2025,1,1,INE0LEZ01016,1
Allcargo Terminals Limited,ATL,EQ,10-AUG-2023,2,1,INE0NN701020,2
ATLANTAA LIMITED,ATLANTAA,EQ,25-SEP-2006,2,1,INE285H01022,2
Atlas Cycles (Haryana) Limited,ATLASCYCLE,BE,23-OCT-1996,5,1,INE446A01025,5
Atul Limited,ATUL,EQ,06-MAY-1998,10,1,INE100A01010,10
Atul Auto Limited,ATULAUTO,EQ,26-JUN-2013,5,1,INE951D01028,5
AU Small Finance Bank Limited,AUBANK,EQ,10-JUL-2017,10,1,INE949L01017,10
Aurionpro Solutions Limited,AURIONPRO,EQ,25-OCT-2005,10,1,INE132H01018,10
Aurobindo Pharma Limited,AUROPHARMA,EQ,19-JUL-2000,1,1,INE406A01037,1
Aurum PropTech Limited,AURUM,EQ,19-AUG-2015,5,1,INE898S01029,5
Ausom Enterprise Limited,AUSOMENT,BE,17-APR-1996,10,1,INE218C01016,10
Automotive Axles Limited,AUTOAXLES,EQ,29-MAY-2003,10,1,INE449A01011,10
Autoline Industries Limited,AUTOIND,EQ,31-JAN-2007,10,1,INE718H01014,10
Avadh Sugar & Energy Limited,AVADHSUGAR,EQ,28-JUL-2017,10,1,INE349W01017,10
Avalon Technologies Limited,AVALON,EQ,18-APR-2023,2,1,INE0LCL01028,2
Avantel Limited,AVANTEL,EQ,31-JUL-2024,2,1,INE005B01027,2
Avanti Feeds Limited,AVANTIFEED,EQ,15-APR-2015,1,1,INE871C01038,1
AVG Logistics Limited,AVG,EQ,12-MAY-2023,10,1,INE680Z01018,10
Aditya Vision Limited,AVL,EQ,06-NOV-2024,1,1,INE679V01027,1
Avonmore Capital & Management Services Limited,AVONMORE,BE,04-JAN-2023,1,1,INE323B01024,1
AVRO INDIA LIMITED,AVROIND,EQ,07-APR-2022,10,1,INE652Z01017,10
AVT Natural Products Limited,AVTNPL,EQ,10-JAN-2007,1,1,INE488D01021,1
Awfis Space Solutions Limited,AWFIS,EQ,30-MAY-2024,10,1,INE108V01019,10
Antony Waste Handling Cell Limited,AWHCL,EQ,01-JAN-2021,5,1,INE01BK01022,5
AWL Agri Business Limited,AWL,EQ,08-FEB-2022,1,1,INE699H01024,1
Axis Bank Limited,AXISBANK,EQ,16-NOV-1998,2,1,INE238A01034,2
AXISCADES Technologies Limited,AXISCADES,BE,21-DEC-2000,5,1,INE555B01013,5
Axita Cotton Limited,AXITA,EQ,21-JUN-2022,1,1,INE02EZ01022,1
AYM Syntex Limited,AYMSYNTEX,EQ,14-AUG-2015,10,1,INE193B01039,10
Azad Engineering Limited,AZAD,EQ,28-DEC-2023,2,1,INE02IJ01035,2
Bafna Pharmaceuticals Limited,BAFNAPH,BE,27-FEB-2020,10,1,INE878I01022,10
B.A.G Films and Media Limited,BAGFILMS,EQ,17-OCT-2003,2,1,INE116D01028,2
Baid Finserv Limited,BAIDFIN,EQ,20-JAN-2023,2,1,INE020D01022,2
Bajaj Auto Limited,BAJAJ-AUTO,EQ,26-MAY-2008,10,1,INE917I01010,10
Bajaj Consumer Care Limited,BAJAJCON,EQ,18-AUG-2010,1,1,INE933K01021,1
Bajaj Electricals Limited,BAJAJELEC,EQ,02-NOV-2007,2,1,INE193E01025,2
Bajaj Finserv Limited,BAJAJFINSV,EQ,26-MAY-2008,1,1,INE918I01026,1
Bajaj Healthcare Limited,BAJAJHCARE,EQ,25-NOV-2021,5,1,INE411U01027,5
Bajaj Housing Finance Limited,BAJAJHFL,EQ,16-SEP-2024,10,1,INE377Y01014,10
Bajaj Hindusthan Sugar Limited,BAJAJHIND,EQ,10-MAY-1995,1,1,INE306A01021,1
Bajaj Holdings & Investment Limited,BAJAJHLDNG,EQ,15-MAR-1995,10,1,INE118A01012,10
Indef Manufacturing Limited,BAJAJINDEF,EQ,21-FEB-2025,1,1,INE0O9T01021,1
Bajel Projects Limited,BAJEL,BE,19-DEC-2023,2,1,INE0KQN01018,2
Bajaj Finance Limited,BAJFINANCE,EQ,01-APR-2003,1,1,INE296A01032,1
Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE,EQ,12-SEP-2024,10,1,INE0S2G01011,10
Balaji Telefilms Limited,BALAJITELE,BE,22-NOV-2000,2,1,INE794B01026,2
Balaji Amines Limited,BALAMINES,EQ,05-APR-2007,2,1,INE050E01027,2
BALAXI PHARMACEUTICALS LIMITED,BALAXI,EQ,30-NOV-2015,2,1,INE618N01022,2
Balkrishna Paper Mills Limited,BALKRISHNA,EQ,28-JUL-2015,10,1,INE875R01011,10
Balkrishna Industries Limited,BALKRISIND,EQ,27-JAN-2006,2,1,INE787D01026,2
Balmer Lawrie & Company Limited,BALMLAWRIE,EQ,06-JUL-1995,10,1,INE164A01016,10
Bal Pharma Limited,BALPHARMA,EQ,08-MAY-2006,10,1,INE083D01012,10
Balrampur Chini Mills Limited,BALRAMCHIN,EQ,08-FEB-1995,1,1,INE119A01028,1
Balu Forge Industries Limited,BALUFORGE,BE,29-APR-2024,10,1,INE011E01029,10
Banaras Beads Limited,BANARBEADS,EQ,07-JUL-1995,10,1,INE655B01011,10
Bannari Amman Sugars Limited,BANARISUG,EQ,28-MAY-2003,10,1,INE459A01010,10
Banco Products (I) Limited,BANCOINDIA,EQ,22-DEC-2006,2,1,INE213C01025,2
Bandhan Bank Limited,BANDHANBNK,EQ,27-MAR-2018,10,1,INE545U01014,10
Bang Overseas Limited,BANG,EQ,20-FEB-2008,10,1,INE863I01016,10
Banka BioLoo Limited,BANKA,EQ,29-OCT-2020,10,1,INE862Y01015,10
Bank of Baroda,BANKBARODA,EQ,19-FEB-1997,2,1,INE028A01039,2
Bank of India,BANKINDIA,EQ,30-APR-1997,10,1,INE084A01016,10
Bansal Wire Industries Limited,BANSALWIRE,EQ,10-JUL-2024,5,1,INE0B9K01025,5
Banswara Syntex Limited,BANSWRAS,EQ,11-APR-2007,5,1,INE629D01020,5
Barbeque Nation Hospitality Limited,BARBEQUE,EQ,07-APR-2021,5,1,INE382M01027,5
BASF India Limited,BASF,EQ,17-MAY-1995,10,1,INE373A01013,10
Bannari Amman Spinning Mills Limited,BASML,EQ,14-NOV-2005,5,1,INE186H01022,5
Bata India Limited,BATAINDIA,EQ,18-JUN-2003,5,1,INE176A01028,5
Bayer Cropscience Limited,BAYERCROP,EQ,08-JAN-2010,10,1,INE462A01022,10
Bharat Bijlee Limited,BBL,EQ,21-NOV-2006,5,1,INE464A01036,5
Black Box Limited,BBOX,BE,22-JUL-2003,2,1,INE676A01027,2
Bombay Burmah Trading Corporation Limited,BBTC,EQ,03-APR-1996,2,1,INE050A01025,2
B&B Triplewall Containers Limited,BBTCL,EQ,23-NOV-2022,10,1,INE01EE01011,10
Bcl Industries Limited,BCLIND,EQ,04-MAR-2021,1,1,INE412G01024,1
Brand Concepts Limited,BCONCEPTS,EQ,11-JAN-2022,10,1,INE977Y01011,10
Bharat Dynamics Limited,BDL,EQ,23-MAR-2018,5,1,INE171Z01026,5
Beardsell Limited,BEARDSELL,EQ,13-JAN-2015,2,1,INE520H01022,2
Mrs. Bectors Food Specialities Limited,BECTORFOOD,EQ,24-DEC-2020,10,1,INE495P01012,10
Bedmutha Industries Limited,BEDMUTHA,EQ,14-OCT-2010,10,1,INE844K01012,10
Bharat Electronics Limited,BEL,EQ,19-JUL-2000,1,1,INE263A01024,1
Belrise Industries Limited,BELRISE,EQ,28-MAY-2025,5,1,INE894V01022,5
BEML Limited,BEML,EQ,05-NOV-2003,10,1,INE258A01016,10
Bhansali Engineering Polymers Limited,BEPL,EQ,21-MAR-2005,1,1,INE922A01025,1
Berger Paints (I) Limited,BERGEPAINT,EQ,24-NOV-1999,1,1,INE463A01038,1
Best Agrolife Limited,BESTAGRO,BE,10-APR-2024,10,1,INE052T01013,10
BF Investment Limited,BFINVEST,EQ,14-JAN-2011,5,1,INE878K01010,5
BF Utilities Limited,BFUTILITIE,EQ,03-MAY-2007,5,1,INE243D01012,5
BGR Energy Systems Limited,BGRENERGY,BE,03-JAN-2008,10,1,INE661I01014,10
Bhagiradha Chemicals & Industries Limited,BHAGCHEM,EQ,18-OCT-2021,1,1,INE414D01027,1
Bhageria Industries Limited,BHAGERIA,EQ,02-MAR-2016,5,1,INE354C01027,5
Bhagyanagar India Limited,BHAGYANGR,EQ,17-MAY-2017,2,1,INE458B01036,2
Bhandari Hosiery Exports Limited,BHANDARI,EQ,30-JAN-2017,1,1,INE474E01029,1
Bharat Forge Limited,BHARATFORG,EQ,04-APR-2003,2,1,INE465A01025,2
Bharat Gears Limited,BHARATGEAR,EQ,03-APR-1996,10,1,INE561C01019,10
Bharat Rasayan Limited,BHARATRAS,EQ,11-OCT-1995,10,1,INE838B01013,10
Bharat Seats Limited,BHARATSE,BE,24-MAR-2025,2,1,INE415D01024,2
Bharat Wire Ropes Limited,BHARATWIRE,EQ,01-APR-2016,10,1,INE316L01019,10
Bharti Airtel Limited,BHARTIARTL,EQ,15-FEB-2002,5,1,INE397D01024,5
Bharti Hexacom Limited,BHARTIHEXA,EQ,12-APR-2024,5,1,INE343G01021,5
Bharat Heavy Electricals Limited,BHEL,EQ,11-NOV-2003,2,1,INE257A01026,2
Bigbloc Construction Limited,BIGBLOC,EQ,02-SEP-2016,2,1,INE412U01025,2
Bikaji Foods International Limited,BIKAJI,EQ,16-NOV-2022,1,1,INE00E101023,1
Bhartiya International Limited,BIL,BE,12-APR-2000,10,1,INE828A01016,10
Binani Industries Limited,BINANIIND,BE,27-SEP-2006,10,1,INE071A01013,10
Biocon Limited,BIOCON,EQ,07-APR-2004,5,1,INE376G01013,5
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM,BE,12-JUN-1996,10,1,INE829A01014,10
Birla Cable Limited,BIRLACABLE,BE,06-DEC-1995,10,1,INE800A01015,10
Birla Corporation Limited,BIRLACORPN,EQ,12-APR-1995,10,1,INE340A01012,10
Aditya Birla Money Limited,BIRLAMONEY,EQ,07-FEB-2008,1,1,INE865C01022,1
BirlaNu Limited,BIRLANU,EQ,26-APR-1995,10,1,INE557A01011,10
Zinka Logistics Solutions Limited,BLACKBUCK,EQ,22-NOV-2024,1,1,INE0UIZ01018,1
BEML Land Assets Limited,BLAL,EQ,19-APR-2023,10,1,INE0N7W01012,10
BLB Limited,BLBLIMITED,EQ,31-MAY-2000,1,1,INE791A01024,1
Bliss GVS Pharma Limited,BLISSGVS,EQ,26-JUL-2010,1,1,INE416D01022,1
B. L. Kashyap and Sons Limited,BLKASHYAP,EQ,17-MAR-2006,1,1,INE350H01032,1
BLS International Services Limited,BLS,EQ,14-JUN-2016,1,1,INE153T01027,1
BLS E-Services Limited,BLSE,BE,06-FEB-2024,10,1,INE0NLT01010,10
Blue Coast Hotels Limited,BLUECOAST,BE,16-FEB-2000,10,1,INE472B01011,10
